source,target,weight,timestamp,year_month,source_tech,target_tech
4,30,0.25,2025-12-01,2025-12,JavaScript,Go
10,20,0.16,2025-12-01,2025-12,JavaScript,Go
4,11,0.38,2025-12-01,2025-12,JavaScript,TypeScript
4,3,1.16,2025-12-01,2025-12,JavaScript,JavaScript
4,50,1.36,2025-12-01,2025-12,JavaScript,JavaScript
10,28,0.25,2025-12-01,2025-12,JavaScript,Java
5,19,0.74,2025-12-01,2025-12,Go,Go
30,40,0.39,2025-12-01,2025-12,Go,Rust
5,42,0.18,2025-12-01,2025-12,Go,TypeScript
4,12,0.4,2025-12-01,2025-12,JavaScript,Python
4,30,0.35,2025-12-01,2025-12,JavaScript,Go
30,28,0.16,2025-12-01,2025-12,Go,Java
4,21,0.43,2025-12-01,2025-12,JavaScript,Java
10,24,0.26,2025-12-01,2025-12,JavaScript,Rust
10,41,0.18,2025-12-01,2025-12,JavaScript,C++
4,29,0.27,2025-12-01,2025-12,JavaScript,TypeScript
4,3,0.68,2025-12-01,2025-12,JavaScript,JavaScript
10,46,0.22,2025-12-01,2025-12,JavaScript,Python
10,20,0.15,2025-12-01,2025-12,JavaScript,Go
10,48,0.16,2025-12-01,2025-12,JavaScript,C++
30,26,0.19,2025-12-01,2025-12,Go,C++
4,3,1.2,2025-12-01,2025-12,JavaScript,JavaScript
10,16,0.25,2025-12-01,2025-12,JavaScript,TypeScript
44,9,0.37,2025-12-01,2025-12,C++,TypeScript
30,44,0.35,2025-12-01,2025-12,Go,C++
1,18,0.39,2025-12-01,2025-12,C++,Go
1,4,0.21,2025-12-01,2025-12,C++,JavaScript
30,21,0.32,2025-12-01,2025-12,Go,Java
26,47,0.39,2025-01-01,2025-01,C++,TypeScript
4,34,0.25,2025-01-01,2025-01,JavaScript,TypeScript
48,49,1.43,2025-01-01,2025-01,C++,C++
24,2,0.29,2025-01-01,2025-01,Rust,TypeScript
27,41,0.4,2025-01-01,2025-01,JavaScript,C++
44,11,0.33,2025-01-01,2025-01,C++,TypeScript
41,27,0.28,2025-01-01,2025-01,C++,JavaScript
43,32,0.4,2025-01-01,2025-01,JavaScript,TypeScript
32,42,1.5,2025-01-01,2025-01,TypeScript,TypeScript
14,16,0.26,2025-01-01,2025-01,Python,TypeScript
43,24,0.42,2025-01-01,2025-01,JavaScript,Rust
18,1,0.21,2025-01-01,2025-01,Go,C++
36,16,0.36,2025-01-01,2025-01,Python,TypeScript
16,33,0.16,2025-01-01,2025-01,TypeScript,C++
11,23,0.4,2025-01-01,2025-01,TypeScript,JavaScript
36,1,0.21,2025-01-01,2025-01,Python,C++
46,43,0.3,2025-01-01,2025-01,Python,JavaScript
43,1,0.38,2025-01-01,2025-01,JavaScript,C++
28,9,0.31,2025-01-01,2025-01,Java,TypeScript
15,20,0.18,2025-01-01,2025-01,Rust,Go
23,32,0.44,2025-01-01,2025-01,JavaScript,TypeScript
18,34,0.4,2025-01-01,2025-01,Go,TypeScript
5,30,0.72,2025-01-01,2025-01,Go,Go
29,2,0.75,2025-01-01,2025-01,TypeScript,TypeScript
41,44,1.33,2025-01-01,2025-01,C++,C++
50,20,0.32,2025-01-01,2025-01,JavaScript,Go
33,36,0.44,2025-01-01,2025-01,C++,Python
38,11,0.42,2025-01-01,2025-01,Go,TypeScript
21,14,0.38,2025-01-01,2025-01,Java,Python
39,10,0.35,2025-01-01,2025-01,Python,JavaScript
50,16,0.4,2025-01-01,2025-01,JavaScript,TypeScript
32,11,0.72,2025-01-01,2025-01,TypeScript,TypeScript
6,24,0.34,2025-01-01,2025-01,Java,Rust
14,13,0.23,2025-01-01,2025-01,Python,Java
29,23,0.39,2025-01-01,2025-01,TypeScript,JavaScript
7,4,0.22,2025-01-01,2025-01,Java,JavaScript
17,37,0.23,2025-01-01,2025-01,Java,Go
41,34,0.26,2025-01-01,2025-01,C++,TypeScript
19,42,0.22,2025-01-01,2025-01,Go,TypeScript
2,16,0.61,2025-01-01,2025-01,TypeScript,TypeScript
46,50,0.44,2025-01-01,2025-01,Python,JavaScript
17,29,0.29,2025-01-01,2025-01,Java,TypeScript
14,21,0.26,2025-01-01,2025-01,Python,Java
32,6,0.17,2025-01-01,2025-01,TypeScript,Java
36,50,0.34,2025-01-01,2025-01,Python,JavaScript
27,31,0.45,2025-01-01,2025-01,JavaScript,Python
15,8,0.37,2025-01-01,2025-01,Rust,Go
50,32,0.41,2025-01-01,2025-01,JavaScript,TypeScript
8,20,1.22,2025-01-01,2025-01,Go,Go
18,31,0.22,2025-01-01,2025-01,Go,Python
32,50,0.34,2025-01-01,2025-01,TypeScript,JavaScript
46,38,0.41,2025-01-01,2025-01,Python,Go
42,8,0.23,2025-01-01,2025-01,TypeScript,Go
3,12,0.26,2025-01-01,2025-01,JavaScript,Python
28,12,0.43,2025-01-01,2025-01,Java,Python
11,1,0.32,2025-01-01,2025-01,TypeScript,C++
47,11,1.38,2025-01-01,2025-01,TypeScript,TypeScript
39,2,0.25,2025-01-01,2025-01,Python,TypeScript
19,38,0.79,2025-01-01,2025-01,Go,Go
49,23,0.38,2025-01-01,2025-01,C++,JavaScript
12,2,0.17,2025-01-01,2025-01,Python,TypeScript
32,48,0.35,2025-01-01,2025-01,TypeScript,C++
32,39,0.33,2025-01-01,2025-01,TypeScript,Python
31,12,1.47,2025-01-01,2025-01,Python,Python
16,34,1.13,2025-02-01,2025-02,TypeScript,TypeScript
14,27,0.37,2025-02-01,2025-02,Python,JavaScript
35,9,0.4,2025-02-01,2025-02,Python,TypeScript
11,43,0.34,2025-02-01,2025-02,TypeScript,JavaScript
6,22,0.26,2025-02-01,2025-02,Java,Go
45,46,0.29,2025-02-01,2025-02,C++,Python
19,47,0.38,2025-02-01,2025-02,Go,TypeScript
49,41,1.38,2025-02-01,2025-02,C++,C++
50,26,0.42,2025-02-01,2025-02,JavaScript,C++
