developer_id,name,primary_tech,join_date,activity_level
1,jbrockmendel,C++,2025-07-25,0.4957
2,jreback,TypeScript,2025-09-24,0.9725
3,wesm,JavaScript,2025-11-17,0.6895
4,jorisvandenbossche,JavaScript,2025-03-25,0.3381
5,mroeschke,Go,2025-12-26,0.5736
6,phofl,Java,2025-06-27,0.8536
7,TomAugspurger,Java,2025-10-08,0.87
8,simonjayhawkins,Go,2025-07-18,0.5385
9,cpcloud,TypeScript,2025-06-10,0.4106
10,rhshadrach,JavaScript,2025-08-13,0.6699
11,gfyoung,TypeScript,2025-04-25,0.3895
12,topper-123,Python,2025-11-10,0.9485
13,sinhrks,Java,2025-02-15,0.8503
14,MarcoGorelli,Python,2025-07-07,0.7971
15,WillAyd,Rust,2025-08-22,0.4624
16,adamklein,TypeScript,2025-06-10,0.9269
17,tuhinsharma121,Java,2025-02-14,0.7394
18,datapythonista,Go,2025-05-31,0.7339
19,jtratner,Go,2025-06-08,0.4933
20,changhiskhan,Go,2025-10-19,0.9521
21,lithomas1,Java,2025-11-19,0.64
22,lukemanley,Go,2025-09-14,0.7282
23,twoertwein,JavaScript,2025-05-02,0.4016
24,ShaharNaveh,Rust,2025-08-21,0.3074
25,attack68,Go,2025-07-06,0.6425
26,natmokval,C++,2025-05-28,0.7255
27,jschendel,JavaScript,2025-12-26,0.3797
28,hayd,Java,2025-03-26,0.5714
29,dsaxton,TypeScript,2025-12-05,0.6067
30,fangchenli,Go,2025-11-11,0.7797
31,mzeitlin11,Python,2025-04-28,0.5922
32,DeaMariaLeon,TypeScript,2025-12-13,0.4929
33,orbitfold,C++,2025-11-30,0.4481
34,alimcmaster1,TypeScript,2025-01-30,0.8007
35,toobaz,Python,2025-05-28,0.4287
36,jseabold,Python,2025-02-21,0.9101
37,charlesdong1991,Go,2025-03-10,0.7483
38,chris-b1,Go,2025-04-24,0.7226
39,h-vetinari,Python,2025-07-18,0.6052
40,Dr-Irv,Rust,2025-01-08,0.9189
41,shoyer,C++,2025-08-17,0.961
42,lodagro,TypeScript,2025-02-10,0.3634
43,arw2019,JavaScript,2025-10-25,0.5985
44,bashtage,C++,2025-07-22,0.6928
45,ivanovmg,C++,2025-09-19,0.3049
46,SaturnFromTitan,Python,2025-08-30,0.5046
47,mortada,TypeScript,2025-03-11,0.5621
48,qwhelan,C++,2025-07-19,0.5457
49,takluyver,C++,2025-03-01,0.7969
50,behzadnouri,JavaScript,2025-07-07,0.4702
