year_month,month_index,developer_id,community_id,community_size
2025-01,0,1,0,6
2025-01,0,8,0,6
2025-01,0,12,0,6
2025-01,0,26,0,6
2025-01,0,31,0,6
2025-01,0,42,0,6
2025-01,0,2,1,8
2025-01,0,15,1,8
2025-01,0,21,1,8
2025-01,0,37,1,8
2025-01,0,39,1,8
2025-01,0,40,1,8
2025-01,0,45,1,8
2025-01,0,49,1,8
2025-01,0,4,2,7
2025-01,0,6,2,7
2025-01,0,14,2,7
2025-01,0,19,2,7
2025-01,0,22,2,7
2025-01,0,25,2,7
2025-01,0,27,2,7
2025-01,0,5,3,6
2025-01,0,11,3,6
2025-01,0,17,3,6
2025-01,0,24,3,6
2025-01,0,36,3,6
2025-01,0,43,3,6
2025-01,0,7,4,7
2025-01,0,9,4,7
2025-01,0,10,4,7
2025-01,0,23,4,7
2025-01,0,30,4,7
2025-01,0,34,4,7
2025-01,0,48,4,7
2025-01,0,16,5,4
2025-01,0,32,5,4
2025-01,0,35,5,4
2025-01,0,50,5,4
2025-01,0,18,6,6
2025-01,0,28,6,6
2025-01,0,33,6,6
2025-01,0,38,6,6
2025-01,0,44,6,6
2025-01,0,47,6,6
2025-02,1,1,0,5
2025-02,1,8,0,5
2025-02,1,19,0,5
2025-02,1,25,0,5
2025-02,1,27,0,5
2025-02,1,2,1,6
2025-02,1,13,1,6
2025-02,1,29,1,6
2025-02,1,40,1,6
2025-02,1,42,1,6
2025-02,1,44,1,6
2025-02,1,3,2,6
2025-02,1,6,2,6
2025-02,1,16,2,6
2025-02,1,22,2,6
2025-02,1,26,2,6
2025-02,1,45,2,6
2025-02,1,5,3,12
2025-02,1,9,3,12
2025-02,1,10,3,12
2025-02,1,14,3,12
2025-02,1,15,3,12
2025-02,1,21,3,12
2025-02,1,28,3,12
2025-02,1,33,3,12
2025-02,1,36,3,12
2025-02,1,37,3,12
2025-02,1,39,3,12
2025-02,1,47,3,12
2025-02,1,7,4,3
2025-02,1,30,4,3
2025-02,1,34,4,3
2025-02,1,11,5,6
2025-02,1,23,5,6
2025-02,1,24,5,6
2025-02,1,31,5,6
2025-02,1,43,5,6
2025-02,1,48,5,6
2025-02,1,17,6,4
2025-02,1,41,6,4
2025-02,1,46,6,4
2025-02,1,50,6,4
2025-02,1,20,7,2
2025-02,1,35,7,2
2025-03,2,1,0,8
2025-03,2,3,0,8
2025-03,2,8,0,8
2025-03,2,12,0,8
2025-03,2,15,0,8
2025-03,2,41,0,8
2025-03,2,46,0,8
2025-03,2,48,0,8
2025-03,2,2,1,4
2025-03,2,20,1,4
2025-03,2,25,1,4
2025-03,2,37,1,4
2025-03,2,4,2,3
2025-03,2,24,2,3
2025-03,2,27,2,3
2025-03,2,5,3,8
2025-03,2,6,3,8
2025-03,2,9,3,8
2025-03,2,17,3,8
2025-03,2,18,3,8
2025-03,2,28,3,8
2025-03,2,33,3,8
2025-03,2,50,3,8
2025-03,2,7,4,4
2025-03,2,10,4,4
2025-03,2,22,4,4
2025-03,2,30,4,4
2025-03,2,11,5,4
2025-03,2,19,5,4
2025-03,2,31,5,4
2025-03,2,42,5,4
2025-03,2,16,6,4
2025-03,2,29,6,4
2025-03,2,34,6,4
2025-03,2,35,6,4
2025-03,2,21,7,5
2025-03,2,38,7,5
2025-03,2,39,7,5
2025-03,2,45,7,5
2025-03,2,49,7,5
2025-03,2,23,8,8
2025-03,2,26,8,8
2025-03,2,32,8,8
2025-03,2,36,8,8
2025-03,2,40,8,8
2025-03,2,43,8,8
2025-03,2,44,8,8
2025-03,2,47,8,8
2025-04,3,2,0,6
2025-04,3,20,0,6
2025-04,3,25,0,6
2025-04,3,35,0,6
2025-04,3,37,0,6
2025-04,3,50,0,6
2025-04,3,3,1,6
2025-04,3,22,1,6
2025-04,3,23,1,6
2025-04,3,26,1,6
2025-04,3,30,1,6
2025-04,3,45,1,6
2025-04,3,4,2,9
2025-04,3,6,2,9
2025-04,3,8,2,9
2025-04,3,9,2,9
2025-04,3,15,2,9
2025-04,3,21,2,9
2025-04,3,27,2,9
2025-04,3,39,2,9
2025-04,3,47,2,9
2025-04,3,5,3,6
2025-04,3,14,3,6
2025-04,3,16,3,6
2025-04,3,18,3,6
2025-04,3,24,3,6
2025-04,3,46,3,6
2025-04,3,7,4,5
2025-04,3,10,4,5
2025-04,3,13,4,5
2025-04,3,19,4,5
2025-04,3,34,4,5
2025-04,3,11,5,7
2025-04,3,31,5,7
2025-04,3,36,5,7
2025-04,3,40,5,7
2025-04,3,42,5,7
2025-04,3,43,5,7
2025-04,3,48,5,7
2025-04,3,12,6,4
2025-04,3,17,6,4
2025-04,3,28,6,4
2025-04,3,33,6,4
2025-05,4,2,0,5
2025-05,4,31,0,5
2025-05,4,37,0,5
2025-05,4,40,0,5
2025-05,4,48,0,5
2025-05,4,3,1,3
2025-05,4,45,1,3
2025-05,4,46,1,3
2025-05,4,4,2,7
2025-05,4,6,2,7
2025-05,4,25,2,7
2025-05,4,26,2,7
2025-05,4,27,2,7
2025-05,4,34,2,7
2025-05,4,38,2,7
2025-05,4,5,3,10
2025-05,4,14,3,10
2025-05,4,16,3,10
2025-05,4,17,3,10
2025-05,4,23,3,10
2025-05,4,24,3,10
2025-05,4,28,3,10
2025-05,4,32,3,10
2025-05,4,39,3,10
2025-05,4,43,3,10
2025-05,4,7,4,7
2025-05,4,8,4,7
2025-05,4,11,4,7
2025-05,4,19,4,7
2025-05,4,30,4,7
2025-05,4,33,4,7
2025-05,4,42,4,7
2025-05,4,9,5,5
2025-05,4,13,5,5
2025-05,4,21,5,5
2025-05,4,22,5,5
2025-05,4,50,5,5
2025-05,4,12,6,4
2025-05,4,20,6,4
2025-05,4,35,6,4
2025-05,4,36,6,4
2025-05,4,15,7,4
2025-05,4,18,7,4
2025-05,4,44,7,4
2025-05,4,47,7,4
2025-06,5,2,0,7
2025-06,5,3,0,7
2025-06,5,26,0,7
2025-06,5,31,0,7
2025-06,5,40,0,7
2025-06,5,42,0,7
2025-06,5,45,0,7
2025-06,5,4,1,5
2025-06,5,8,1,5
2025-06,5,15,1,5
2025-06,5,27,1,5
2025-06,5,38,1,5
2025-06,5,5,2,8
2025-06,5,14,2,8
2025-06,5,17,2,8
2025-06,5,28,2,8
2025-06,5,33,2,8
2025-06,5,41,2,8
2025-06,5,43,2,8
2025-06,5,48,2,8
2025-06,5,6,3,7
2025-06,5,18,3,7
2025-06,5,21,3,7
2025-06,5,36,3,7
2025-06,5,39,3,7
2025-06,5,49,3,7
2025-06,5,50,3,7
2025-06,5,7,4,13
2025-06,5,9,4,13
2025-06,5,10,4,13
2025-06,5,12,4,13
2025-06,5,13,4,13
2025-06,5,20,4,13
2025-06,5,22,4,13
2025-06,5,25,4,13
2025-06,5,30,4,13
2025-06,5,37,4,13
2025-06,5,44,4,13
2025-06,5,46,4,13
2025-06,5,47,4,13
2025-06,5,11,5,3
2025-06,5,19,5,3
2025-06,5,24,5,3
2025-06,5,16,6,4
2025-06,5,23,6,4
2025-06,5,32,6,4
2025-06,5,34,6,4
2025-07,6,2,0,6
2025-07,6,11,0,6
2025-07,6,17,0,6
2025-07,6,24,0,6
2025-07,6,31,0,6
2025-07,6,42,0,6
2025-07,6,3,1,2
2025-07,6,45,1,2
2025-07,6,4,2,9
2025-07,6,15,2,9
2025-07,6,19,2,9
2025-07,6,27,2,9
2025-07,6,29,2,9
2025-07,6,34,2,9
2025-07,6,36,2,9
2025-07,6,46,2,9
2025-07,6,49,2,9
2025-07,6,5,3,4
2025-07,6,8,3,4
2025-07,6,14,3,4
2025-07,6,18,3,4
2025-07,6,6,4,6
2025-07,6,16,4,6
2025-07,6,21,4,6
2025-07,6,22,4,6
2025-07,6,25,4,6
2025-07,6,26,4,6
2025-07,6,7,5,3
2025-07,6,30,5,3
2025-07,6,38,5,3
2025-07,6,9,6,11
2025-07,6,10,6,11
2025-07,6,12,6,11
2025-07,6,20,6,11
2025-07,6,28,6,11
2025-07,6,33,6,11
2025-07,6,35,6,11
2025-07,6,37,6,11
2025-07,6,39,6,11
2025-07,6,44,6,11
2025-07,6,47,6,11
2025-07,6,40,7,4
2025-07,6,41,7,4
2025-07,6,43,7,4
2025-07,6,48,7,4
2025-08,7,1,0,9
2025-08,7,4,0,9
2025-08,7,9,0,9
2025-08,7,19,0,9
2025-08,7,20,0,9
2025-08,7,24,0,9
2025-08,7,25,0,9
2025-08,7,27,0,9
2025-08,7,38,0,9
2025-08,7,2,1,7
2025-08,7,13,1,7
2025-08,7,22,1,7
2025-08,7,33,1,7
2025-08,7,37,1,7
2025-08,7,41,1,7
2025-08,7,48,1,7
2025-08,7,5,2,8
2025-08,7,16,2,8
2025-08,7,17,2,8
2025-08,7,18,2,8
2025-08,7,23,2,8
2025-08,7,28,2,8
2025-08,7,36,2,8
2025-08,7,39,2,8
2025-08,7,6,3,7
2025-08,7,21,3,7
2025-08,7,26,3,7
2025-08,7,32,3,7
2025-08,7,45,3,7
2025-08,7,49,3,7
2025-08,7,50,3,7
2025-08,7,7,4,6
2025-08,7,10,4,6
2025-08,7,30,4,6
2025-08,7,40,4,6
2025-08,7,43,4,6
2025-08,7,46,4,6
2025-08,7,8,5,4
2025-08,7,12,5,4
2025-08,7,15,5,4
2025-08,7,47,5,4
2025-08,7,11,6,4
2025-08,7,31,6,4
2025-08,7,35,6,4
2025-08,7,42,6,4
2025-08,7,14,7,3
2025-08,7,29,7,3
2025-08,7,34,7,3
2025-09,8,2,0,9
2025-09,8,3,0,9
2025-09,8,11,0,9
2025-09,8,28,0,9
2025-09,8,31,0,9
2025-09,8,33,0,9
2025-09,8,40,0,9
2025-09,8,42,0,9
2025-09,8,45,0,9
2025-09,8,4,1,7
2025-09,8,14,1,7
2025-09,8,20,1,7
2025-09,8,24,1,7
2025-09,8,25,1,7
2025-09,8,27,1,7
2025-09,8,34,1,7
2025-09,8,5,2,6
2025-09,8,18,2,6
2025-09,8,19,2,6
2025-09,8,23,2,6
2025-09,8,35,2,6
2025-09,8,50,2,6
2025-09,8,6,3,9
2025-09,8,8,3,9
2025-09,8,12,3,9
2025-09,8,13,3,9
2025-09,8,21,3,9
2025-09,8,26,3,9
2025-09,8,37,3,9
2025-09,8,44,3,9
2025-09,8,47,3,9
2025-09,8,7,4,6
2025-09,8,10,4,6
2025-09,8,16,4,6
2025-09,8,22,4,6
2025-09,8,30,4,6
2025-09,8,32,4,6
2025-09,8,15,5,8
2025-09,8,36,5,8
2025-09,8,38,5,8
2025-09,8,39,5,8
2025-09,8,41,5,8
2025-09,8,43,5,8
2025-09,8,48,5,8
2025-09,8,49,5,8
2025-10,9,2,0,2
2025-10,9,37,0,2
2025-10,9,3,1,12
2025-10,9,8,1,12
2025-10,9,9,1,12
2025-10,9,11,1,12
2025-10,9,17,1,12
2025-10,9,24,1,12
2025-10,9,26,1,12
2025-10,9,31,1,12
2025-10,9,33,1,12
2025-10,9,38,1,12
2025-10,9,42,1,12
2025-10,9,50,1,12
2025-10,9,4,2,8
2025-10,9,6,2,8
2025-10,9,7,2,8
2025-10,9,10,2,8
2025-10,9,16,2,8
2025-10,9,22,2,8
2025-10,9,30,2,8
2025-10,9,40,2,8
2025-10,9,5,3,3
2025-10,9,14,3,3
2025-10,9,18,3,3
2025-10,9,15,4,9
2025-10,9,21,4,9
2025-10,9,39,4,9
2025-10,9,41,4,9
2025-10,9,43,4,9
2025-10,9,44,4,9
2025-10,9,45,4,9
2025-10,9,48,4,9
2025-10,9,49,4,9
2025-10,9,19,5,7
2025-10,9,23,5,7
2025-10,9,27,5,7
2025-10,9,29,5,7
2025-10,9,32,5,7
2025-10,9,34,5,7
2025-10,9,36,5,7
2025-11,10,1,0,5
2025-11,10,28,0,5
2025-11,10,31,0,5
2025-11,10,33,0,5
2025-11,10,42,0,5
2025-11,10,2,1,7
2025-11,10,18,1,7
2025-11,10,37,1,7
2025-11,10,38,1,7
2025-11,10,40,1,7
2025-11,10,49,1,7
2025-11,10,50,1,7
2025-11,10,3,2,3
2025-11,10,21,2,3
2025-11,10,45,2,3
2025-11,10,4,3,8
2025-11,10,5,3,8
2025-11,10,6,3,8
2025-11,10,12,3,8
2025-11,10,15,3,8
2025-11,10,20,3,8
2025-11,10,27,3,8
2025-11,10,46,3,8
2025-11,10,7,4,6
2025-11,10,11,4,6
2025-11,10,17,4,6
2025-11,10,19,4,6
2025-11,10,34,4,6
2025-11,10,48,4,6
2025-11,10,8,5,6
2025-11,10,9,5,6
2025-11,10,10,5,6
2025-11,10,26,5,6
2025-11,10,30,5,6
2025-11,10,41,5,6
2025-11,10,16,6,6
2025-11,10,22,6,6
2025-11,10,23,6,6
2025-11,10,24,6,6
2025-11,10,39,6,6
2025-11,10,43,6,6
2025-12,11,2,0,12
2025-12,11,5,0,12
2025-12,11,9,0,12
2025-12,11,10,0,12
2025-12,11,12,0,12
2025-12,11,13,0,12
2025-12,11,20,0,12
2025-12,11,22,0,12
2025-12,11,25,0,12
2025-12,11,33,0,12
2025-12,11,37,0,12
2025-12,11,47,0,12
2025-12,11,3,1,8
2025-12,11,11,1,8
2025-12,11,30,1,8
2025-12,11,31,1,8
2025-12,11,41,1,8
2025-12,11,42,1,8
2025-12,11,45,1,8
2025-12,11,46,1,8
2025-12,11,4,2,11
2025-12,11,7,2,11
2025-12,11,14,2,11
2025-12,11,19,2,11
2025-12,11,23,2,11
2025-12,11,26,2,11
2025-12,11,27,2,11
2025-12,11,34,2,11
2025-12,11,35,2,11
2025-12,11,40,2,11
2025-12,11,49,2,11
2025-12,11,6,3,6
2025-12,11,8,3,6
2025-12,11,21,3,6
2025-12,11,38,3,6
2025-12,11,39,3,6
2025-12,11,50,3,6
2025-12,11,15,4,5
2025-12,11,16,4,5
2025-12,11,24,4,5
2025-12,11,28,4,5
2025-12,11,48,4,5
2025-12,11,17,5,7
2025-12,11,18,5,7
2025-12,11,29,5,7
2025-12,11,32,5,7
2025-12,11,36,5,7
2025-12,11,43,5,7
2025-12,11,44,5,7
