source,target,weight,source_tech,target_tech,tech_match,tech_match_type,strength_level
2,22,0.36,C++,Rust,False,Cross-Tech,Medium
3,30,0.21,Go,Rust,False,Cross-Tech,Low
3,31,0.26,Go,Rust,False,Cross-Tech,Low
3,30,0.22,Go,Rust,False,Cross-Tech,Low
3,21,0.21,Go,Python,False,Cross-Tech,Low
4,7,0.33,C++,Rust,False,Cross-Tech,Medium
4,19,0.33,C++,JavaScript,False,Cross-Tech,Medium
4,7,0.27,C++,Rust,False,Cross-Tech,Low
4,8,0.27,C++,Python,False,Cross-Tech,Low
4,8,0.38,C++,Python,False,Cross-Tech,High
5,28,0.37,Go,Java,False,Cross-Tech,Medium
6,21,0.17,Rust,Python,False,Cross-Tech,Low
7,34,0.35,Rust,Python,False,Cross-Tech,Medium
7,19,0.3,Rust,JavaScript,False,Cross-Tech,Medium
8,38,1.34,Python,Python,True,Same Tech,High
8,38,0.91,Python,Python,True,Same Tech,High
8,16,0.22,Python,JavaScript,False,Cross-Tech,Low
8,27,0.4,Python,C++,False,Cross-Tech,High
8,27,0.33,Python,C++,False,Cross-Tech,Medium
9,21,0.16,JavaScript,Python,False,Cross-Tech,Low
11,30,0.24,JavaScript,Rust,False,Cross-Tech,Low
11,17,0.32,JavaScript,Java,False,Cross-Tech,Medium
11,17,0.27,JavaScript,Java,False,Cross-Tech,Low
12,47,0.6,JavaScript,JavaScript,True,Same Tech,High
12,15,0.29,JavaScript,Java,False,Cross-Tech,Medium
13,22,0.43,Java,Rust,False,Cross-Tech,High
14,40,0.44,Go,JavaScript,False,Cross-Tech,High
14,40,0.22,Go,JavaScript,False,Cross-Tech,Low
17,11,0.32,Java,JavaScript,False,Cross-Tech,Medium
18,17,0.43,JavaScript,Java,False,Cross-Tech,High
18,15,0.29,JavaScript,Java,False,Cross-Tech,Medium
18,15,0.17,JavaScript,Java,False,Cross-Tech,Low
18,36,0.45,JavaScript,Python,False,Cross-Tech,High
18,5,0.27,JavaScript,Go,False,Cross-Tech,Low
20,5,0.33,Rust,Go,False,Cross-Tech,Medium
20,9,0.28,Rust,JavaScript,False,Cross-Tech,Medium
20,27,0.21,Rust,C++,False,Cross-Tech,Low
20,12,0.32,Rust,JavaScript,False,Cross-Tech,Medium
21,38,0.73,Python,Python,True,Same Tech,High
21,50,1.25,Python,Python,True,Same Tech,High
22,24,0.26,Rust,Java,False,Cross-Tech,Low
23,7,0.36,Go,Rust,False,Cross-Tech,Medium
23,26,0.26,Go,TypeScript,False,Cross-Tech,Low
23,34,0.38,Go,Python,False,Cross-Tech,High
23,26,0.42,Go,TypeScript,False,Cross-Tech,High
24,26,0.16,Java,TypeScript,False,Cross-Tech,Low
24,16,0.37,Java,JavaScript,False,Cross-Tech,Medium
24,27,0.43,Java,C++,False,Cross-Tech,High
24,28,0.74,Java,Java,True,Same Tech,High
25,22,0.28,JavaScript,Rust,False,Cross-Tech,Medium
25,22,0.3,JavaScript,Rust,False,Cross-Tech,Medium
25,22,0.27,JavaScript,Rust,False,Cross-Tech,Low
25,20,0.4,JavaScript,Rust,False,Cross-Tech,High
27,4,1.07,C++,C++,True,Same Tech,High
27,15,0.36,C++,Java,False,Cross-Tech,Medium
28,44,0.2,Java,TypeScript,False,Cross-Tech,Low
28,15,0.69,Java,Java,True,Same Tech,High
29,17,0.36,Python,Java,False,Cross-Tech,Medium
29,17,0.3,Python,Java,False,Cross-Tech,Medium
29,14,0.41,Python,Go,False,Cross-Tech,High
29,14,0.16,Python,Go,False,Cross-Tech,Low
31,45,0.27,Rust,Go,False,Cross-Tech,Low
31,11,0.26,Rust,JavaScript,False,Cross-Tech,Low
31,11,0.17,Rust,JavaScript,False,Cross-Tech,Low
31,45,0.15,Rust,Go,False,Cross-Tech,Low
31,48,0.21,Rust,Java,False,Cross-Tech,Low
33,9,0.32,Go,JavaScript,False,Cross-Tech,Medium
33,47,0.17,Go,JavaScript,False,Cross-Tech,Low
33,13,0.42,Go,Java,False,Cross-Tech,High
33,9,0.21,Go,JavaScript,False,Cross-Tech,Low
33,29,0.2,Go,Python,False,Cross-Tech,Low
34,25,0.26,Python,JavaScript,False,Cross-Tech,Low
34,4,0.43,Python,C++,False,Cross-Tech,High
34,35,0.39,Python,Rust,False,Cross-Tech,High
35,49,0.27,Rust,TypeScript,False,Cross-Tech,Low
35,2,0.4,Rust,C++,False,Cross-Tech,High
35,2,0.3,Rust,C++,False,Cross-Tech,Medium
36,43,0.36,Python,Rust,False,Cross-Tech,Medium
36,15,0.15,Python,Java,False,Cross-Tech,Low
36,43,0.43,Python,Rust,False,Cross-Tech,High
36,15,0.22,Python,Java,False,Cross-Tech,Low
36,43,0.44,Python,Rust,False,Cross-Tech,High
37,20,0.4,C++,Rust,False,Cross-Tech,High
39,21,0.3,Rust,Python,False,Cross-Tech,Medium
39,44,0.4,Rust,TypeScript,False,Cross-Tech,High
39,5,0.3,Rust,Go,False,Cross-Tech,Medium
39,44,0.28,Rust,TypeScript,False,Cross-Tech,Medium
39,6,1.12,Rust,Rust,True,Same Tech,High
40,7,0.23,JavaScript,Rust,False,Cross-Tech,Low
42,31,0.52,Rust,Rust,True,Same Tech,High
42,11,0.18,Rust,JavaScript,False,Cross-Tech,Low
43,32,0.16,Rust,Python,False,Cross-Tech,Low
44,29,0.4,TypeScript,Python,False,Cross-Tech,High
44,17,0.42,TypeScript,Java,False,Cross-Tech,High
44,47,0.21,TypeScript,JavaScript,False,Cross-Tech,Low
44,47,0.19,TypeScript,JavaScript,False,Cross-Tech,Low
44,50,0.21,TypeScript,Python,False,Cross-Tech,Low
46,34,0.34,C++,Python,False,Cross-Tech,Medium
46,41,0.44,C++,Rust,False,Cross-Tech,High
46,3,0.27,C++,Go,False,Cross-Tech,Low
46,3,0.44,C++,Go,False,Cross-Tech,High
47,33,0.15,JavaScript,Go,False,Cross-Tech,Low
47,10,0.18,JavaScript,Rust,False,Cross-Tech,Low
48,11,0.42,Java,JavaScript,False,Cross-Tech,High
48,43,0.28,Java,Rust,False,Cross-Tech,Medium
48,28,1.45,Java,Java,True,Same Tech,High
