year_month,month_index,developer_id,community_id,community_size
2025-02,0,1,0,8
2025-02,0,9,0,8
2025-02,0,11,0,8
2025-02,0,18,0,8
2025-02,0,25,0,8
2025-02,0,31,0,8
2025-02,0,44,0,8
2025-02,0,46,0,8
2025-02,0,2,1,7
2025-02,0,6,1,7
2025-02,0,19,1,7
2025-02,0,22,1,7
2025-02,0,26,1,7
2025-02,0,29,1,7
2025-02,0,41,1,7
2025-02,0,3,2,9
2025-02,0,5,2,9
2025-02,0,16,2,9
2025-02,0,28,2,9
2025-02,0,40,2,9
2025-02,0,43,2,9
2025-02,0,45,2,9
2025-02,0,47,2,9
2025-02,0,48,2,9
2025-02,0,7,3,8
2025-02,0,10,3,8
2025-02,0,14,3,8
2025-02,0,17,3,8
2025-02,0,21,3,8
2025-02,0,33,3,8
2025-02,0,35,3,8
2025-02,0,49,3,8
2025-02,0,8,4,3
2025-02,0,12,4,3
2025-02,0,32,4,3
2025-02,0,13,5,4
2025-02,0,37,5,4
2025-02,0,39,5,4
2025-02,0,50,5,4
2025-02,0,15,6,8
2025-02,0,23,6,8
2025-02,0,24,6,8
2025-02,0,27,6,8
2025-02,0,30,6,8
2025-02,0,34,6,8
2025-02,0,36,6,8
2025-02,0,42,6,8
2025-03,1,1,0,7
2025-03,1,3,0,7
2025-03,1,12,0,7
2025-03,1,13,0,7
2025-03,1,25,0,7
2025-03,1,28,0,7
2025-03,1,29,0,7
2025-03,1,2,1,7
2025-03,1,16,1,7
2025-03,1,23,1,7
2025-03,1,27,1,7
2025-03,1,36,1,7
2025-03,1,37,1,7
2025-03,1,38,1,7
2025-03,1,4,2,12
2025-03,1,5,2,12
2025-03,1,7,2,12
2025-03,1,9,2,12
2025-03,1,11,2,12
2025-03,1,21,2,12
2025-03,1,31,2,12
2025-03,1,33,2,12
2025-03,1,43,2,12
2025-03,1,46,2,12
2025-03,1,47,2,12
2025-03,1,48,2,12
2025-03,1,6,3,6
2025-03,1,30,3,6
2025-03,1,34,3,6
2025-03,1,35,3,6
2025-03,1,39,3,6
2025-03,1,49,3,6
2025-03,1,8,4,4
2025-03,1,19,4,4
2025-03,1,24,4,4
2025-03,1,41,4,4
2025-03,1,10,5,5
2025-03,1,18,5,5
2025-03,1,22,5,5
2025-03,1,32,5,5
2025-03,1,50,5,5
2025-03,1,14,6,9
2025-03,1,15,6,9
2025-03,1,17,6,9
2025-03,1,20,6,9
2025-03,1,26,6,9
2025-03,1,40,6,9
2025-03,1,42,6,9
2025-03,1,44,6,9
2025-03,1,45,6,9
2025-04,2,1,0,10
2025-04,2,5,0,10
2025-04,2,6,0,10
2025-04,2,10,0,10
2025-04,2,15,0,10
2025-04,2,18,0,10
2025-04,2,25,0,10
2025-04,2,35,0,10
2025-04,2,41,0,10
2025-04,2,48,0,10
2025-04,2,2,1,10
2025-04,2,3,1,10
2025-04,2,7,1,10
2025-04,2,13,1,10
2025-04,2,21,1,10
2025-04,2,28,1,10
2025-04,2,31,1,10
2025-04,2,38,1,10
2025-04,2,46,1,10
2025-04,2,50,1,10
2025-04,2,4,2,9
2025-04,2,11,2,9
2025-04,2,12,2,9
2025-04,2,24,2,9
2025-04,2,32,2,9
2025-04,2,33,2,9
2025-04,2,34,2,9
2025-04,2,39,2,9
2025-04,2,44,2,9
2025-04,2,8,3,11
2025-04,2,14,3,11
2025-04,2,19,3,11
2025-04,2,20,3,11
2025-04,2,23,3,11
2025-04,2,26,3,11
2025-04,2,29,3,11
2025-04,2,36,3,11
2025-04,2,43,3,11
2025-04,2,45,3,11
2025-04,2,47,3,11
2025-04,2,9,4,2
2025-04,2,22,4,2
2025-04,2,16,5,8
2025-04,2,17,5,8
2025-04,2,27,5,8
2025-04,2,30,5,8
2025-04,2,37,5,8
2025-04,2,40,5,8
2025-04,2,42,5,8
2025-04,2,49,5,8
2025-05,3,1,0,15
2025-05,3,2,0,15
2025-05,3,3,0,15
2025-05,3,7,0,15
2025-05,3,9,0,15
2025-05,3,20,0,15
2025-05,3,24,0,15
2025-05,3,29,0,15
2025-05,3,34,0,15
2025-05,3,38,0,15
2025-05,3,40,0,15
2025-05,3,42,0,15
2025-05,3,45,0,15
2025-05,3,46,0,15
2025-05,3,50,0,15
2025-05,3,4,1,8
2025-05,3,8,1,8
2025-05,3,12,1,8
