source,target,weight,source_tech,target_tech,tech_match,tech_match_type,strength_level,developer_id,name,primary_tech,join_date_x,activity_level,pagerank_score,degree_centrality,betweenness_centrality,degree_x,pagerank_score_percentile_x,degree_centrality_percentile_x,betweenness_centrality_percentile_x,is_core_developer,target_developer_id,target_name,target_primary_tech,join_date_y,target_activity_level,target_pagerank_score,target_degree_centrality,target_betweenness_centrality,degree_y,pagerank_score_percentile_y,degree_centrality_percentile_y,betweenness_centrality_percentile_y,target_is_core_developer,direction
1,2,1.5,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,2,Dev_002,C++,2025-01-09,0.33508391249991,0.0142043185760911,0.0408163265306122,0.0160754778101716,2,30.0,27.0,32.0,False,outgoing
1,3,1.02,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,3,Dev_003,Go,2025-02-04,0.3640548137882908,0.0211840352025658,0.0816326530612244,0.1316873177842565,4,56.0,66.0,96.0,False,outgoing
1,9,0.42,Java,Go,False,Cross-Tech,Medium,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,9,Dev_009,JavaScript,2025-01-13,0.7516298111360129,0.0122826542353077,0.0612244897959183,0.0476480671633732,3,28.0,47.0,54.0,False,outgoing
1,11,0.3,Java,C++,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,11,Dev_011,JavaScript,2025-05-08,0.5013642130302449,0.0231879232535983,0.1020408163265306,0.057331146744412,5,66.0,85.0,66.0,False,outgoing
1,13,0.79,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,13,Dev_013,Java,2025-11-22,0.4123522585525582,0.0166733001671502,0.0408163265306122,0.0195456754130223,2,36.0,27.0,34.0,False,outgoing
1,15,0.55,Java,Rust,False,Cross-Tech,Medium,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,15,Dev_015,Java,2025-07-16,0.4223366707765729,0.0248923587878151,0.1020408163265306,0.0778553881870208,5,76.0,85.0,76.0,False,outgoing
1,16,0.3,Java,Rust,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,16,Dev_016,JavaScript,2025-11-30,0.5034730736093546,0.0101307772833044,0.0408163265306122,0.004921174819134,2,16.0,27.0,22.0,False,outgoing
1,17,0.95,Java,Python,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,17,Dev_017,Java,2025-10-03,0.8910668154211243,0.0238385411691776,0.0816326530612244,0.0625661375661375,4,70.0,66.0,70.0,False,outgoing
1,18,0.72,Java,C++,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,18,Dev_018,JavaScript,2025-06-25,0.7657690393754095,0.0212438725681279,0.0816326530612244,0.0330360517222762,4,60.0,66.0,46.0,False,outgoing
1,20,0.51,Java,JavaScript,False,Cross-Tech,Medium,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,20,Dev_020,Rust,2025-11-05,0.5248540010399386,0.0324356057607642,0.1224489795918367,0.1232925709966526,6,90.0,97.0,94.0,True,outgoing
1,23,0.39,Java,Rust,False,Cross-Tech,Medium,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,23,Dev_023,Go,2025-12-25,0.5468569966990218,0.0208594954032792,0.0612244897959183,0.0124939261418853,3,52.0,47.0,28.0,False,outgoing
1,25,1.0,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,25,Dev_025,JavaScript,2025-11-02,0.4904726088747695,0.0166292620670656,0.0612244897959183,0.0598092808551992,3,34.0,47.0,68.0,False,outgoing
1,27,0.79,Java,Python,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,27,Dev_027,C++,2025-02-09,0.9458603965851872,0.032307693330708,0.1020408163265306,0.1028854200410322,5,88.0,85.0,86.0,True,outgoing
1,29,0.9,Java,Rust,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,29,Dev_029,Python,2025-07-18,0.3522844882743963,0.0194260377755717,0.0816326530612244,0.0664368723679948,4,46.0,66.0,72.0,False,outgoing
1,30,0.42,Java,Rust,False,Cross-Tech,Medium,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,30,Dev_030,Rust,2025-04-21,0.4788720887177914,0.0101145009409465,0.0408163265306122,0.0081369452542921,2,14.0,27.0,24.0,False,outgoing
1,31,1.5,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,31,Dev_031,Rust,2025-07-15,0.5674935262782486,0.0262671101339227,0.1020408163265306,0.09200882734046,5,80.0,85.0,80.0,False,outgoing
1,32,0.64,Java,Go,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,32,Dev_032,Python,2025-10-30,0.4847361309752396,0.0058408106395062,0.0204081632653061,0.0,1,6.0,9.0,11.0,False,outgoing
1,33,0.17,Java,TypeScript,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,33,Dev_033,Go,2025-05-17,0.3942250997202853,0.0190623585049619,0.0816326530612244,0.049779991361624,4,44.0,66.0,58.0,False,outgoing
1,35,0.29,Java,C++,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,35,Dev_035,Rust,2025-09-21,0.7610554080449926,0.0209400407908875,0.0612244897959183,0.0510204081632653,3,54.0,47.0,60.0,False,outgoing
1,37,0.82,Java,Python,False,Cross-Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,37,Dev_037,C++,2025-08-03,0.809534968416388,0.0087361915569504,0.0204081632653061,0.0,1,12.0,9.0,11.0,False,outgoing
1,38,0.19,Java,C++,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,38,Dev_038,Python,2025-07-27,0.3941130508991837,0.0215811757376749,0.0408163265306122,0.0227992387431162,2,62.0,27.0,36.0,False,outgoing
1,39,0.62,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,39,Dev_039,Rust,2025-05-17,0.8186911513179176,0.027008635556134,0.0816326530612244,0.036345292085088,4,84.0,66.0,48.0,True,outgoing
1,40,0.26,Java,Go,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,40,Dev_040,JavaScript,2025-12-27,0.9910410136565008,0.011567221189774,0.0408163265306122,0.024083184861246,2,26.0,27.0,38.0,False,outgoing
1,41,1.5,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,41,Dev_041,Rust,2025-11-02,0.7986929303394126,0.0103052376945401,0.0204081632653061,0.0,1,18.0,9.0,11.0,False,outgoing
1,44,1.22,Java,Java,True,Same Tech,High,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,44,Dev_044,TypeScript,2025-04-28,0.5193591438940266,0.0261391160495078,0.1224489795918367,0.1000533149767843,6,78.0,97.0,84.0,False,outgoing
1,45,0.18,Java,JavaScript,False,Cross-Tech,Low,1,Dev_001,TypeScript,2025-03-10,0.6086328894408579,0.0030518819938962,0.0,0.0,0,2.0,2.0,11.0,False,45,Dev_045,Go,2025-05-22,0.86460813721541,0.0056082649045537,0.0204081632653061,0.0,1,4.0,9.0,11.0,False,outgoing
2,3,1.4,Java,Java,True,Same Tech,High,2,Dev_002,C++,2025-01-09,0.33508391249991,0.0142043185760911,0.0408163265306122,0.0160754778101716,2,30.0,27.0,32.0,False,3,Dev_003,Go,2025-02-04,0.3640548137882908,0.0211840352025658,0.0816326530612244,0.1316873177842565,4,56.0,66.0,96.0,False,outgoing
2,6,1.5,Java,Java,True,Same Tech,High,2,Dev_002,C++,2025-01-09,0.33508391249991,0.0142043185760911,0.0408163265306122,0.0160754778101716,2,30.0,27.0,32.0,False,6,Dev_006,Rust,2025-09-17,0.994165716360982,0.0177988145566558,0.0408163265306122,0.0,2,38.0,27.0,11.0,False,outgoing
2,7,0.27,Java,Go,False,Cross-Tech,Low,2,Dev_002,C++,2025-01-09,0.33508391249991,0.0142043185760911,0.0408163265306122,0.0160754778101716,2,30.0,27.0,32.0,False,7,Dev_007,Rust,2025-04-26,0.5867865624201682,0.0264271221330601,0.1020408163265306,0.0495792166072778,5,82.0,85.0,56.0,True,outgoing
